Profile,Parameter,Category,Value
BaselineLTHI,number_of_people_in_isoboxes,Camp Parameter,8100
QuarantineLTHI,number_of_people_in_isoboxes,Camp Parameter,8100
BaselineLTHI,number_of_people_in_one_isobox,Camp Parameter,10
QuarantineLTHI,number_of_people_in_one_isobox,Camp Parameter,10
BaselineLTHI,number_of_people_in_one_tent,Camp Parameter,4
QuarantineLTHI,number_of_people_in_one_tent,Camp Parameter,4
BaselineLTHI,number_of_people_in_tents,Camp Parameter,10600
QuarantineLTHI,number_of_people_in_tents,Camp Parameter,10600
BaselineLTHI,number_of_steps,Simulation Parameter,200
SectoringHTHI,number_of_people_in_isoboxes,Camp Parameter,8100
SectoringHTHI,number_of_people_in_one_isobox,Camp Parameter,10
SectoringHTHI,number_of_people_in_tents,Camp Parameter,10600
SectoringHTHI,number_of_people_in_one_tent,Camp Parameter,4
SectoringHTHI,permanently_asymptomatic_cases,Camp Parameter,0.179
SectoringHTHI,area_covered_by_isoboxes,Camp Parameter,0.5
SectoringHTHI,relative_strength_of_interaction,Camp Parameter,0.2
SectoringHTHI,smaller_movement_radius,Sectoring High Transmission High Interaction,0.0202
SectoringHTHI,larger_movement_radius,Sectoring High Transmission High Interaction,0.0226
SectoringHTHI,overlapping_rages_radius,Camp Parameter,0.02
SectoringHTHI,number_of_steps,Simulation Parameter,200
SectoringHTHI,num_toilet_visit,Camp Parameter,3
SectoringHTHI,num_toilet_contact,Camp Parameter,2
SectoringHTHI,num_food_visit,Camp Parameter,1
SectoringHTHI,num_food_contact,Camp Parameter,2
SectoringHTHI,pct_food_visit,Camp Parameter,0.75
SectoringHTHI,transmission_reduction,Sectoring High Transmission High Interaction,1
SectoringHTHI,probability_spotting_symptoms_per_day,Sectoring High Transmission High Interaction,0.05
SectoringHTHI,clearday,Camp Parameter,7
SectoringHTHI,toilets_blocks,Camp Parameter,"12,12"
SectoringHTHI,foodline_blocks,Sectoring High Transmission High Interaction,"16,16"
SectoringHTHI,prop_violating_lockdown,Sectoring High Transmission High Interaction,
SectoringHTHI,lockdown_home_range,Sectoring High Transmission High Interaction,
SectoringHTHI,prob_spread_wander,Sectoring High Transmission High Interaction,0.017
SectoringHTHI,prob_spread_house,Sectoring High Transmission High Interaction,0.33
SectoringHTHI,prob_spread_toilet,Sectoring High Transmission High Interaction,0.099
SectoringHTHI,prob_spread_foodline,Sectoring High Transmission High Interaction,0.407
QuarantineHTHI,number_of_people_in_isoboxes,Camp Parameter,8100
QuarantineHTHI,number_of_people_in_one_isobox,Camp Parameter,10
QuarantineHTHI,number_of_people_in_tents,Camp Parameter,10600
QuarantineHTHI,number_of_people_in_one_tent,Camp Parameter,4
QuarantineHTHI,permanently_asymptomatic_cases,Camp Parameter,0.179
QuarantineHTHI,area_covered_by_isoboxes,Camp Parameter,0.5
QuarantineHTHI,relative_strength_of_interaction,Camp Parameter,0.2
QuarantineHTHI,smaller_movement_radius,Quarantine High Transmission High Interaction,0.0202
QuarantineHTHI,larger_movement_radius,Quarantine High Transmission High Interaction,0.0226
QuarantineHTHI,overlapping_rages_radius,Camp Parameter,0.02
QuarantineHTHI,number_of_steps,Simulation Parameter,200
QuarantineHTHI,num_toilet_visit,Camp Parameter,3
QuarantineHTHI,num_toilet_contact,Camp Parameter,2
QuarantineHTHI,num_food_visit,Camp Parameter,1
QuarantineHTHI,num_food_contact,Camp Parameter,2
QuarantineHTHI,pct_food_visit,Camp Parameter,0.75
QuarantineHTHI,transmission_reduction,Quarantine High Transmission High Interaction,1
QuarantineHTHI,probability_spotting_symptoms_per_day,Quarantine High Transmission High Interaction,0.5
QuarantineHTHI,clearday,Camp Parameter,7
QuarantineHTHI,toilets_blocks,Camp Parameter,"12,12"
QuarantineHTHI,foodline_blocks,Quarantine High Transmission High Interaction,"1,1"
QuarantineHTHI,prop_violating_lockdown,Quarantine High Transmission High Interaction,
QuarantineHTHI,lockdown_home_range,Quarantine High Transmission High Interaction,
QuarantineHTHI,prob_spread_wander,Quarantine High Transmission High Interaction,0.017
QuarantineHTHI,prob_spread_house,Quarantine High Transmission High Interaction,0.33
QuarantineHTHI,prob_spread_toilet,Quarantine High Transmission High Interaction,0.099
QuarantineHTHI,prob_spread_foodline,Quarantine High Transmission High Interaction,0.407
LockdownHTHI,number_of_people_in_isoboxes,Camp Parameter,8100
LockdownHTHI,number_of_people_in_one_isobox,Camp Parameter,10
LockdownHTHI,number_of_people_in_tents,Camp Parameter,10600
LockdownHTHI,number_of_people_in_one_tent,Camp Parameter,4
LockdownHTHI,permanently_asymptomatic_cases,Camp Parameter,0.179
LockdownHTHI,area_covered_by_isoboxes,Camp Parameter,0.5
LockdownHTHI,relative_strength_of_interaction,Camp Parameter,0.2
LockdownHTHI,smaller_movement_radius,Lockdown High Transmission High Interaction,0.005
LockdownHTHI,larger_movement_radius,Lockdown High Transmission High Interaction,0.005
LockdownHTHI,overlapping_rages_radius,Camp Parameter,0.02
LockdownHTHI,number_of_steps,Simulation Parameter,200
LockdownHTHI,num_toilet_visit,Camp Parameter,3
LockdownHTHI,num_toilet_contact,Camp Parameter,2
LockdownHTHI,num_food_visit,Camp Parameter,1
LockdownHTHI,num_food_contact,Camp Parameter,2
LockdownHTHI,pct_food_visit,Camp Parameter,0.75
LockdownHTHI,transmission_reduction,Lockdown High Transmission High Interaction,1
LockdownHTHI,probability_spotting_symptoms_per_day,Lockdown High Transmission High Interaction,0.05
LockdownHTHI,clearday,Camp Parameter,7
LockdownHTHI,toilets_blocks,Camp Parameter,"12,12"
LockdownHTHI,foodline_blocks,Lockdown High Transmission High Interaction,"1,1"
LockdownHTHI,prop_violating_lockdown,Lockdown High Transmission High Interaction,0.05
LockdownHTHI,lockdown_home_range,Lockdown High Transmission High Interaction,0.005
LockdownHTHI,prob_spread_wander,Lockdown High Transmission High Interaction,0.017
LockdownHTHI,prob_spread_house,Lockdown High Transmission High Interaction,0.33
LockdownHTHI,prob_spread_toilet,Lockdown High Transmission High Interaction,0.099
LockdownHTHI,prob_spread_foodline,Lockdown High Transmission High Interaction,0.407
SectoringLTHI,number_of_people_in_isoboxes,Camp Parameter,8100
SectoringLTHI,number_of_people_in_one_isobox,Camp Parameter,10
SectoringLTHI,number_of_people_in_tents,Camp Parameter,10600
SectoringLTHI,number_of_people_in_one_tent,Camp Parameter,4
SectoringLTHI,permanently_asymptomatic_cases,Camp Parameter,0.179
SectoringLTHI,area_covered_by_isoboxes,Camp Parameter,0.5
SectoringLTHI,relative_strength_of_interaction,Camp Parameter,0.2
SectoringLTHI,smaller_movement_radius,Sectoring Low Transmission High Interaction,0.0202
SectoringLTHI,larger_movement_radius,Sectoring Low Transmission High Interaction,0.0226
SectoringLTHI,overlapping_rages_radius,Camp Parameter,0.02
SectoringLTHI,number_of_steps,Simulation Parameter,200
SectoringLTHI,num_toilet_visit,Camp Parameter,3
SectoringLTHI,num_toilet_contact,Camp Parameter,2
SectoringLTHI,num_food_visit,Camp Parameter,1
SectoringLTHI,num_food_contact,Camp Parameter,2
SectoringLTHI,pct_food_visit,Camp Parameter,0.75
SectoringLTHI,prob_spread_foodline,Sectoring Low Transmission High Interaction,0.0397
SectoringLTHI,probability_spotting_symptoms_per_day,Sectoring Low Transmission High Interaction,0.05
SectoringLTHI,clearday,Camp Parameter,7
SectoringLTHI,toilets_blocks,Camp Parameter,"12,12"
SectoringLTHI,foodline_blocks,Sectoring Low Transmission High Interaction,"16,16"
SectoringLTHI,prop_violating_lockdown,Sectoring Low Transmission High Interaction,
SectoringLTHI,lockdown_home_range,Sectoring Low Transmission High Interaction,
BaselineLTHI,prob_spread_foodline,Baseline Low Transmission High Interaction,0.0397
LockdownLTHI,prob_spread_foodline,Lockdown Low Transmission High Interaction,0.0397
SectoringFMLTHI,prob_spread_foodline,Sectoring with Face Masks Low Transmission High Interaction,0.0397
SectoringLTHI,prob_spread_house,Sectoring Low Transmission High Interaction,0.0397
LockdownLTHI,number_of_people_in_isoboxes,Camp Parameter,8100
LockdownLTHI,number_of_people_in_one_isobox,Camp Parameter,10
LockdownLTHI,number_of_people_in_tents,Camp Parameter,10600
LockdownLTHI,number_of_people_in_one_tent,Camp Parameter,4
LockdownLTHI,permanently_asymptomatic_cases,Camp Parameter,0.179
LockdownLTHI,area_covered_by_isoboxes,Camp Parameter,0.5
LockdownLTHI,relative_strength_of_interaction,Camp Parameter,0.2
LockdownLTHI,smaller_movement_radius,Lockdown Low Transmission High Interaction,0.005
LockdownLTHI,larger_movement_radius,Lockdown Low Transmission High Interaction,0.005
LockdownLTHI,overlapping_rages_radius,Camp Parameter,0.02
LockdownLTHI,number_of_steps,Simulation Parameter,200
LockdownLTHI,num_toilet_visit,Camp Parameter,3
LockdownLTHI,num_toilet_contact,Camp Parameter,2
LockdownLTHI,num_food_visit,Camp Parameter,1
LockdownLTHI,num_food_contact,Camp Parameter,2
LockdownLTHI,pct_food_visit,Camp Parameter,0.75
LockdownLTHI,transmission_reduction,Lockdown Low Transmission High Interaction,1
LockdownLTHI,probability_spotting_symptoms_per_day,Lockdown Low Transmission High Interaction,0.05
LockdownLTHI,clearday,Camp Parameter,7
LockdownLTHI,toilets_blocks,Camp Parameter,"12,12"
LockdownLTHI,foodline_blocks,Lockdown Low Transmission High Interaction,"1,1"
LockdownLTHI,prop_violating_lockdown,Lockdown Low Transmission High Interaction,0.05
LockdownLTHI,lockdown_home_range,Lockdown Low Transmission High Interaction,0.005
QuarantineFMLTHI,prob_spread_foodline,Quarantine with Face Masks Low Transmission High Interaction,0.0397
LockdownFMLTHI,prob_spread_foodline,Lockdown with Face Masks Low Transmission High Interaction,0.0397
BaselineLTHI,prob_spread_house,Baseline Low Transmission High Interaction,0.0397
LockdownLTHI,prob_spread_house,Lockdown Low Transmission High Interaction,0.0397
QuarantineLTHI,number_of_steps,Simulation Parameter,200
BaselineLTHI,overlapping_rages_radius,Camp Parameter,0.02
QuarantineLTHI,overlapping_rages_radius,Camp Parameter,0.02
BaselineLTHI,pct_food_visit,Camp Parameter,0.75
QuarantineLTHI,pct_food_visit,Camp Parameter,0.75
BaselineLTHI,permanently_asymptomatic_cases,Camp Parameter,0.179
QuarantineLTHI,permanently_asymptomatic_cases,Camp Parameter,0.179
SectoringFMLTHI,prob_spread_house,Sectoring with Face Masks Low Transmission High Interaction,0.0397
QuarantineLTHI,prob_spread_foodline,Quarantine Low Transmission High Interaction,0.0397
SectoringLTHI,prob_spread_toilet,Sectoring Low Transmission High Interaction,0.0067
QuarantineLTHI,prob_spread_house,Quarantine Low Transmission High Interaction,0.0397
QuarantineFMLTHI,prob_spread_house,Quarantine with Face Masks Low Transmission High Interaction,0.0397
QuarantineLTHI,prob_spread_toilet,Quarantine Low Transmission High Interaction,0.0067
LockdownFMLTHI,prob_spread_house,Lockdown with Face Masks Low Transmission High Interaction,0.0397
QuarantineLTHI,prob_spread_wander,Quarantine Low Transmission High Interaction,0.006
BaselineLTHI,probability_spotting_symptoms_per_day,Baseline Low Transmission High Interaction,0.05
QuarantineLTHI,probability_spotting_symptoms_per_day,Quarantine Low Transmission High Interaction,0.5
BaselineLTHI,prop_violating_lockdown,Baseline Low Transmission High Interaction,
QuarantineLTHI,prop_violating_lockdown,Quarantine Low Transmission High Interaction,
BaselineLTHI,relative_strength_of_interaction,Camp Parameter,0.2
QuarantineLTHI,relative_strength_of_interaction,Camp Parameter,0.2
BaselineLTHI,smaller_movement_radius,Baseline Low Transmission High Interaction,0.0202
QuarantineLTHI,smaller_movement_radius,Quarantine Low Transmission High Interaction,0.0202
BaselineLTHI,toilets_blocks,Camp Parameter,"12,12"
QuarantineLTHI,toilets_blocks,Camp Parameter,"12,12"
BaselineLTHI,prob_spread_toilet,Baseline Low Transmission High Interaction,0.0067
QuarantineLTHI,transmission_reduction,Quarantine Low Transmission High Interaction,1
SectoringFMLTHI,number_of_people_in_isoboxes,Camp Parameter,8100
SectoringFMLTHI,number_of_people_in_one_isobox,Camp Parameter,10
SectoringFMLTHI,number_of_people_in_tents,Camp Parameter,10600
SectoringFMLTHI,number_of_people_in_one_tent,Camp Parameter,4
SectoringFMLTHI,permanently_asymptomatic_cases,Camp Parameter,0.179
SectoringFMLTHI,area_covered_by_isoboxes,Camp Parameter,0.5
SectoringFMLTHI,relative_strength_of_interaction,Camp Parameter,0.2
SectoringFMLTHI,smaller_movement_radius,Sectoring with Face Masks Low Transmission High Interaction,0.0202
SectoringFMLTHI,larger_movement_radius,Sectoring with Face Masks Low Transmission High Interaction,0.0226
SectoringFMLTHI,overlapping_rages_radius,Camp Parameter,0.02
SectoringFMLTHI,number_of_steps,Simulation Parameter,200
SectoringFMLTHI,num_toilet_visit,Camp Parameter,3
SectoringFMLTHI,num_toilet_contact,Camp Parameter,2
SectoringFMLTHI,num_food_visit,Camp Parameter,1
SectoringFMLTHI,num_food_contact,Camp Parameter,2
SectoringFMLTHI,pct_food_visit,Camp Parameter,0.75
SectoringFMLTHI,prob_spread_toilet,Sectoring with Face Masks Low Transmission High Interaction,0.0067
SectoringFMLTHI,probability_spotting_symptoms_per_day,Sectoring with Face Masks Low Transmission High Interaction,0.05
SectoringFMLTHI,clearday,Camp Parameter,7
SectoringFMLTHI,toilets_blocks,Camp Parameter,"12,12"
SectoringFMLTHI,foodline_blocks,Sectoring with Face Masks Low Transmission High Interaction,"16,16"
SectoringFMLTHI,prop_violating_lockdown,Sectoring with Face Masks Low Transmission High Interaction,
SectoringFMLTHI,lockdown_home_range,Sectoring with Face Masks Low Transmission High Interaction,
SectoringLTHI,prob_spread_wander,Sectoring Low Transmission High Interaction,0.006
LockdownLTHI,prob_spread_toilet,Lockdown Low Transmission High Interaction,0.0067
BaselineLTHI,prob_spread_wander,Baseline Low Transmission High Interaction,0.006
SectoringFMLTHI,prob_spread_wander,Sectoring with Face Masks Low Transmission High Interaction,0.006
LockdownFMLTHI,number_of_people_in_isoboxes,Camp Parameter,8100
LockdownFMLTHI,number_of_people_in_one_isobox,Camp Parameter,10
LockdownFMLTHI,number_of_people_in_tents,Camp Parameter,10600
LockdownFMLTHI,number_of_people_in_one_tent,Camp Parameter,4
LockdownFMLTHI,permanently_asymptomatic_cases,Camp Parameter,0.179
LockdownFMLTHI,area_covered_by_isoboxes,Camp Parameter,0.5
LockdownFMLTHI,relative_strength_of_interaction,Camp Parameter,0.2
LockdownFMLTHI,smaller_movement_radius,Lockdown with Face Masks Low Transmission High Interaction,0.005
LockdownFMLTHI,larger_movement_radius,Lockdown with Face Masks Low Transmission High Interaction,0.005
LockdownFMLTHI,overlapping_rages_radius,Camp Parameter,0.02
LockdownFMLTHI,number_of_steps,Simulation Parameter,200
LockdownFMLTHI,num_toilet_visit,Camp Parameter,3
LockdownFMLTHI,num_toilet_contact,Camp Parameter,2
LockdownFMLTHI,num_food_visit,Camp Parameter,1
LockdownFMLTHI,num_food_contact,Camp Parameter,2
LockdownFMLTHI,pct_food_visit,Camp Parameter,0.75
LockdownFMLTHI,transmission_reduction,Lockdown with Face Masks Low Transmission High Interaction,0.32
LockdownFMLTHI,probability_spotting_symptoms_per_day,Lockdown with Face Masks Low Transmission High Interaction,0.05
LockdownFMLTHI,clearday,Camp Parameter,7
LockdownFMLTHI,toilets_blocks,Camp Parameter,"12,12"
LockdownFMLTHI,foodline_blocks,Lockdown with Face Masks Low Transmission High Interaction,"1,1"
LockdownFMLTHI,prop_violating_lockdown,Lockdown with Face Masks Low Transmission High Interaction,0.05
LockdownFMLTHI,lockdown_home_range,Lockdown with Face Masks Low Transmission High Interaction,0.005
QuarantineFMLTHI,prob_spread_toilet,Quarantine with Face Masks Low Transmission High Interaction,0.0067
LockdownFMLTHI,prob_spread_toilet,Lockdown with Face Masks Low Transmission High Interaction,0.0067
SectoringLTHI,transmission_reduction,Sectoring Low Transmission High Interaction,1
LockdownFMLTHI,prob_spread_wander,Lockdown with Face Masks Low Transmission High Interaction,0.006
QuarantineFMLTHI,number_of_people_in_isoboxes,Camp Parameter,8100
QuarantineFMLTHI,number_of_people_in_one_isobox,Camp Parameter,10
QuarantineFMLTHI,number_of_people_in_tents,Camp Parameter,10600
QuarantineFMLTHI,number_of_people_in_one_tent,Camp Parameter,4
QuarantineFMLTHI,permanently_asymptomatic_cases,Camp Parameter,0.179
QuarantineFMLTHI,area_covered_by_isoboxes,Camp Parameter,0.5
QuarantineFMLTHI,relative_strength_of_interaction,Camp Parameter,0.2
QuarantineFMLTHI,smaller_movement_radius,Quarantine with Face Masks Low Transmission High Interaction,0.0202
QuarantineFMLTHI,larger_movement_radius,Quarantine with Face Masks Low Transmission High Interaction,0.0226
QuarantineFMLTHI,overlapping_rages_radius,Camp Parameter,0.02
QuarantineFMLTHI,number_of_steps,Simulation Parameter,200
QuarantineFMLTHI,num_toilet_visit,Camp Parameter,3
QuarantineFMLTHI,num_toilet_contact,Camp Parameter,2
QuarantineFMLTHI,num_food_visit,Camp Parameter,1
QuarantineFMLTHI,num_food_contact,Camp Parameter,2
QuarantineFMLTHI,pct_food_visit,Camp Parameter,0.75
QuarantineFMLTHI,transmission_reduction,Quarantine with Face Masks Low Transmission High Interaction,0.32
QuarantineFMLTHI,probability_spotting_symptoms_per_day,Quarantine with Face Masks Low Transmission High Interaction,0.5
QuarantineFMLTHI,clearday,Camp Parameter,7
QuarantineFMLTHI,toilets_blocks,Camp Parameter,"12,12"
QuarantineFMLTHI,foodline_blocks,Quarantine with Face Masks Low Transmission High Interaction,"1,1"
QuarantineFMLTHI,prop_violating_lockdown,Quarantine with Face Masks Low Transmission High Interaction,
QuarantineFMLTHI,lockdown_home_range,Quarantine with Face Masks Low Transmission High Interaction,
LockdownLTHI,prob_spread_wander,Lockdown Low Transmission High Interaction,0.006
BaselineLTHI,transmission_reduction,Baseline Low Transmission High Interaction,1
SectoringFMLTHI,transmission_reduction,Sectoring with Face Masks Low Transmission High Interaction,0.32
QuarantineFMLTHI,prob_spread_wander,Quarantine with Face Masks Low Transmission High Interaction,0.006
SectoringFMHTHI,number_of_people_in_isoboxes,Camp Parameter,8100
SectoringFMHTHI,number_of_people_in_one_isobox,Camp Parameter,10
SectoringFMHTHI,number_of_people_in_tents,Camp Parameter,10600
SectoringFMHTHI,number_of_people_in_one_tent,Camp Parameter,4
SectoringFMHTHI,permanently_asymptomatic_cases,Camp Parameter,0.179
SectoringFMHTHI,area_covered_by_isoboxes,Camp Parameter,0.5
SectoringFMHTHI,relative_strength_of_interaction,Camp Parameter,0.2
SectoringFMHTHI,smaller_movement_radius,Sectoring with Face Masks High Transmission High Interaction,0.0202
SectoringFMHTHI,larger_movement_radius,Sectoring with Face Masks High Transmission High Interaction,0.0226
SectoringFMHTHI,overlapping_rages_radius,Camp Parameter,0.02
SectoringFMHTHI,number_of_steps,Simulation Parameter,200
SectoringFMHTHI,num_toilet_visit,Camp Parameter,3
SectoringFMHTHI,num_toilet_contact,Camp Parameter,2
SectoringFMHTHI,num_food_visit,Camp Parameter,1
SectoringFMHTHI,num_food_contact,Camp Parameter,2
SectoringFMHTHI,pct_food_visit,Camp Parameter,0.75
SectoringFMHTHI,transmission_reduction,Sectoring with Face Masks High Transmission High Interaction,0.32
SectoringFMHTHI,probability_spotting_symptoms_per_day,Sectoring with Face Masks High Transmission High Interaction,0.05
SectoringFMHTHI,clearday,Camp Parameter,7
SectoringFMHTHI,toilets_blocks,Camp Parameter,"12,12"
SectoringFMHTHI,foodline_blocks,Sectoring with Face Masks High Transmission High Interaction,"16,16"
SectoringFMHTHI,prop_violating_lockdown,Sectoring with Face Masks High Transmission High Interaction,
SectoringFMHTHI,lockdown_home_range,Sectoring with Face Masks High Transmission High Interaction,
SectoringFMHTHI,prob_spread_wander,Sectoring with Face Masks High Transmission High Interaction,0.017
SectoringFMHTHI,prob_spread_house,Sectoring with Face Masks High Transmission High Interaction,0.33
SectoringFMHTHI,prob_spread_toilet,Sectoring with Face Masks High Transmission High Interaction,0.099
SectoringFMHTHI,prob_spread_foodline,Sectoring with Face Masks High Transmission High Interaction,0.407
QuarantineFMHTHI,number_of_people_in_isoboxes,Camp Parameter,8100
QuarantineFMHTHI,number_of_people_in_one_isobox,Camp Parameter,10
QuarantineFMHTHI,number_of_people_in_tents,Camp Parameter,10600
QuarantineFMHTHI,number_of_people_in_one_tent,Camp Parameter,4
QuarantineFMHTHI,permanently_asymptomatic_cases,Camp Parameter,0.179
QuarantineFMHTHI,area_covered_by_isoboxes,Camp Parameter,0.5
QuarantineFMHTHI,relative_strength_of_interaction,Camp Parameter,0.2
QuarantineFMHTHI,smaller_movement_radius,Quarantine with Face Masks High Transmission High Interaction,0.0202
QuarantineFMHTHI,larger_movement_radius,Quarantine with Face Masks High Transmission High Interaction,0.0226
QuarantineFMHTHI,overlapping_rages_radius,Camp Parameter,0.02
QuarantineFMHTHI,number_of_steps,Simulation Parameter,200
QuarantineFMHTHI,num_toilet_visit,Camp Parameter,3
QuarantineFMHTHI,num_toilet_contact,Camp Parameter,2
QuarantineFMHTHI,num_food_visit,Camp Parameter,1
QuarantineFMHTHI,num_food_contact,Camp Parameter,2
QuarantineFMHTHI,pct_food_visit,Camp Parameter,0.75
QuarantineFMHTHI,transmission_reduction,Quarantine with Face Masks High Transmission High Interaction,0.32
QuarantineFMHTHI,probability_spotting_symptoms_per_day,Quarantine with Face Masks High Transmission High Interaction,0.5
QuarantineFMHTHI,clearday,Camp Parameter,7
QuarantineFMHTHI,toilets_blocks,Camp Parameter,"12,12"
QuarantineFMHTHI,foodline_blocks,Quarantine with Face Masks High Transmission High Interaction,"1,1"
QuarantineFMHTHI,prop_violating_lockdown,Quarantine with Face Masks High Transmission High Interaction,
QuarantineFMHTHI,lockdown_home_range,Quarantine with Face Masks High Transmission High Interaction,
QuarantineFMHTHI,prob_spread_wander,Quarantine with Face Masks High Transmission High Interaction,0.017
QuarantineFMHTHI,prob_spread_house,Quarantine with Face Masks High Transmission High Interaction,0.33
QuarantineFMHTHI,prob_spread_toilet,Quarantine with Face Masks High Transmission High Interaction,0.099
QuarantineFMHTHI,prob_spread_foodline,Quarantine with Face Masks High Transmission High Interaction,0.407
LockdownFMHTHI,number_of_people_in_isoboxes,Camp Parameter,8100
LockdownFMHTHI,number_of_people_in_one_isobox,Camp Parameter,10
LockdownFMHTHI,number_of_people_in_tents,Camp Parameter,10600
LockdownFMHTHI,number_of_people_in_one_tent,Camp Parameter,4
LockdownFMHTHI,permanently_asymptomatic_cases,Camp Parameter,0.179
LockdownFMHTHI,area_covered_by_isoboxes,Camp Parameter,0.5
LockdownFMHTHI,relative_strength_of_interaction,Camp Parameter,0.2
LockdownFMHTHI,smaller_movement_radius,Lockdown with Face Masks High Transmission High Interaction,0.005
LockdownFMHTHI,larger_movement_radius,Lockdown with Face Masks High Transmission High Interaction,0.005
LockdownFMHTHI,overlapping_rages_radius,Camp Parameter,0.02
LockdownFMHTHI,number_of_steps,Simulation Parameter,200
LockdownFMHTHI,num_toilet_visit,Camp Parameter,3
LockdownFMHTHI,num_toilet_contact,Camp Parameter,2
LockdownFMHTHI,num_food_visit,Camp Parameter,1
LockdownFMHTHI,num_food_contact,Camp Parameter,2
LockdownFMHTHI,pct_food_visit,Camp Parameter,0.75
LockdownFMHTHI,transmission_reduction,Lockdown with Face Masks High Transmission High Interaction,0.32
LockdownFMHTHI,probability_spotting_symptoms_per_day,Lockdown with Face Masks High Transmission High Interaction,0.05
LockdownFMHTHI,clearday,Camp Parameter,7
LockdownFMHTHI,toilets_blocks,Camp Parameter,"12,12"
LockdownFMHTHI,foodline_blocks,Lockdown with Face Masks High Transmission High Interaction,"1,1"
LockdownFMHTHI,prop_violating_lockdown,Lockdown with Face Masks High Transmission High Interaction,0.05
LockdownFMHTHI,lockdown_home_range,Lockdown with Face Masks High Transmission High Interaction,0.005
LockdownFMHTHI,prob_spread_wander,Lockdown with Face Masks High Transmission High Interaction,0.017
LockdownFMHTHI,prob_spread_house,Lockdown with Face Masks High Transmission High Interaction,0.33
LockdownFMHTHI,prob_spread_toilet,Lockdown with Face Masks High Transmission High Interaction,0.099
LockdownFMHTHI,prob_spread_foodline,Lockdown with Face Masks High Transmission High Interaction,0.407
